mturkcode,mturkcode2,labels,spacing,pizza1,pizza2,pizza3,gender,age,education,income,englishfirst
48930,1,no,acc,3,4,7,1,37,4,1,1
58617,2,no,acc,5,9,15,1,28,6,4,1
7562,3,no,acc,5,7,10,1,19,3,3,1
39735,4,no,acc,5,6,8,2,19,2,3,1
22849,5,no,acc,6,8,14,1,28,6,4,1
28781,6,no,acc,6,8,13,2,22,3,3,1
51503,7,no,acc,6,8,15,1,23,2,3,1
26338,8,no,acc,7,8,10,1,38,4,4,1
72080,9,no,acc,7,9,12,1,25,2,2,1
44363,10,no,acc,7,11,13,1,18,3,4,1
61215,11,no,acc,7.5,10.8,24,1,28,4,1,1
43898,12,no,acc,8,10,15,2,48,4,3,1
923,13,no,acc,8,10,14,1,23,3,3,1
76188,14,no,acc,8,12,18,1,19,3,2,1
22520,15,no,acc,8,9,12,2,28,3,2,1
20359,16,no,acc,8,10,14,2,22,4,2,1
7947,17,no,acc,8,10,15,1,24,3,2,1
62372,18,no,acc,8,9,13,1,23,5,1,1
63569,19,no,acc,8,10,12,1,28,3,2,1
55344,20,no,acc,8,9,10,2,25,3,2,1
62653,21,no,acc,8,10,15,2,29,3,3,1
92788,22,no,acc,8,10,14,2,22,3,1,1
89453,23,no,acc,8,11,15,2,22,3,2,1
96347,24,no,acc,8,10,15,1,25,4,6,1
18965,25,no,acc,8,14,20,1,49,4,4,1
23933,26,no,acc,8.99,10.99,13.99,2,28,3,3,1
19578,27,no,acc,8.99,9.99,14.99,2,34,4,5,1
70193,28,no,acc,9,11,15,1,23,3,2,1
32166,29,no,acc,9,10,12,2,26,6,4,1
61259,30,no,acc,9.99,11.99,12.99,1,21,3,1,1
10699,31,no,acc,10,15,20,2,28,6,2,1
89519,32,no,acc,10,12,15,2,29,3,3,1
31707,33,no,acc,10,11,14,1,25,4,2,1
19250,34,no,acc,10,13,15,2,24,3,4,1
60657,35,no,acc,10,15,20,2,36,3,4,1
56437,36,no,acc,10,12,15,1,27,3,5,1
66809,37,no,acc,10,16,20,1,34,4,4,1
69497,38,no,acc,10,12,18,1,32,3,1,1
3892,39,no,acc,10,13,19,1,31,5,3,1
77652,40,no,acc,10,12,14,2,23,4,6,1
30669,41,no,acc,10,12,15,1,24,4,2,1
50079,42,no,acc,10,12,18,1,24,4,4,1
37109,43,no,acc,10,12,15,1,31,3,3,1
34758,44,no,acc,11.99,12.99,14.99,2,21,4,5,1
5872,45,no,acc,12,16,20,1,22,3,1,1
55569,46,no,acc,12,14,20,1,28,4,4,1
37209,47,no,acc,12,15,13,1,27,4,3,1
