V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mturkcode,Q44,A_ACC,A_UNI,A_DEC,B_ACC,B_UNI,B_DEC,COFFEE,Q48,SEX,AGE,Q233,LocationLatitude,LocationLongitude,LocationAccuracy
R_e4Bd4FPnOmZbcu9,Default Response Set,Anonymous,,,71.112.184.69,0,5/22/2014 8:41,5/22/2014 8:42,1,71826,1,,2,,,,,1,1,2,54,1,40.39480591,-79.9056015,-1
R_1UrHGKqsp1R77g1,Default Response Set,Anonymous,,,98.226.134.192,0,5/22/2014 8:44,5/22/2014 8:44,1,48646,1,,2,,,,,1,1,1,49,1,41.71789551,-85.96640015,-1
R_78O77MAsLIg4741,Default Response Set,Anonymous,,,67.177.84.2,0,5/22/2014 8:44,5/22/2014 8:46,1,41763,1,,,,,,2,1,1,2,49,1,30.42030334,-84.25389862,-1
R_4NOcaIL2kYR3scB,Default Response Set,Anonymous,,,68.226.130.69,0,5/22/2014 8:45,5/22/2014 8:46,1,69073,1,,2,,,,,2,1,2,20,1,30.1605072,-92.03320313,-1
R_aeNsl5sdxEwpcgJ,Default Response Set,Anonymous,,,68.57.119.198,0,5/22/2014 8:46,5/22/2014 8:47,1,32972,1,,,,3,,,2,1,1,23,1,38.43359375,-77.38870239,-1
R_eyYUAIxBJZbmZJX,Default Response Set,Anonymous,,,67.213.57.87,0,5/22/2014 8:47,5/22/2014 8:47,1,90581,1,,,,,,2,1,1,1,21,1,35.8986969,-80.57409668,-1
R_eFndEKfMTsCe0VT,Default Response Set,Anonymous,,,67.9.82.153,0,5/22/2014 8:47,5/22/2014 8:47,1,66032,1,,,2,,,,1,1,1,28,1,31.62860107,-97.09889984,-1
R_3QoPrhtzTnD78Lr,Default Response Set,Anonymous,,,75.149.107.217,0,5/22/2014 8:48,5/22/2014 8:48,1,16384,1,,,,2,,,1,1,1,28,1,40.10299683,-74.9414978,-1
R_cBiPJNV0oXBDMIl,Default Response Set,Anonymous,,,24.196.140.51,0,5/22/2014 8:47,5/22/2014 8:48,1,18469,1,,,1,,,,1,1,1,38,1,43.19459534,-89.20249939,-1
R_b7rrEuSbNz7hqmN,Default Response Set,Anonymous,,,98.253.28.168,0,5/22/2014 8:48,5/22/2014 8:48,1,53206,1,,,,,,2,1,1,1,24,1,42.085495,-87.8246994,-1
R_afphjoIJeaEGaWh,Default Response Set,Anonymous,,,107.5.89.172,0,5/22/2014 8:48,5/22/2014 8:49,1,38768,1,,2,,,,,1,1,2,29,1,41.8934021,-84.06590271,-1
R_4NF8HaYVRuJc5jn,Default Response Set,Anonymous,,,149.168.27.243,0,5/22/2014 8:48,5/22/2014 8:49,1,88627,1,,,,,,2,1,1,2,53,1,35.77209473,-78.63860321,-1
R_dcKxkzJObhaizB3,Default Response Set,Anonymous,,,76.7.28.76,0,5/22/2014 8:48,5/22/2014 8:49,1,63712,1,,1,,,,,2,1,1,59,1,38.96609497,-96.76509857,-1
R_6EgdoVK4YgXcU05,Default Response Set,Anonymous,,,108.238.140.178,0,5/22/2014 8:48,5/22/2014 8:49,1,17208,1,,,,3,,,1,1,2,36,1,43.32080078,-88.03140259,-1
R_6D3tHuiLkoqcXv7,Default Response Set,Anonymous,,,24.217.244.67,0,5/22/2014 8:49,5/22/2014 8:49,1,56197,1,2,,,,,,1,1,1,36,1,38.55729675,-90.24759674,-1
R_9viHdbpLh37oaFf,Default Response Set,Anonymous,,,108.88.196.233,0,5/22/2014 8:49,5/22/2014 8:50,1,79291,1,,,,,,2,1,1,2,25,1,41.48170471,-81.80239868,-1
R_bKNME33eZ1XdB0V,Default Response Set,Anonymous,,,8.8.202.215,0,5/22/2014 8:49,5/22/2014 8:50,1,7918,1,3,,,,,,1,1,1,31,1,39.10929871,-84.62090302,-1
