StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,donate,gender,age,fam,fam.open,purpose,PROLIFIC_PID,spacing,labels
2/25/2020 2:39,2/25/2020 2:42,4,86.12.205.166,100,165,1,3/2/2020 1:47,R_40FMHgi86mLRl6l,,,,,52.30000305,-0.066696167,anonymous,EN,2,1,45,0,,To test what people thought about donations to charities and whether they would donate to the specified charity or not,5d545a781c860f00183a2208,decel,yes
2/25/2020 2:41,2/25/2020 2:43,4,81.145.41.162,100,124,1,3/2/2020 1:47,R_9sQhKgATCWmD0VL,,,,,53.49409485,-2.086593628,anonymous,EN,1,1,50,0,,To see how charitable people are,5e0c65b3398bb64207ad4550,decel,no
2/25/2020 2:41,2/25/2020 2:44,4,90.200.135.188,100,132,1,3/2/2020 1:47,R_8I0gNPmgqW90col,,,,,50.915802,-1.360107422,anonymous,EN,2,1,27,0,,"To study how people perceive charities, overheads and their generosity towards said charity.",5ca1d1172171fc001933244b,accel,no
2/25/2020 2:43,2/25/2020 2:44,4,109.147.108.229,100,44,1,3/2/2020 1:47,R_3ftyrSdR0cg3jUx,,,,,53.43460083,-2.908905029,anonymous,EN,1,1,30,0,,People's intentions and morals,5d668bad63b38d00163a187c,decel,yes
2/25/2020 2:43,2/25/2020 2:46,4,94.15.72.173,100,140,1,3/2/2020 1:47,R_0NA3ygbXeAYxCBv,,,,,51.44689941,0.05090332,anonymous,EN,2,1,35,0,,To see how many people will donate to charity,59ccea0dfaf42e00012b6971,accel,yes
2/25/2020 2:46,2/25/2020 2:49,4,139.133.116.28,100,175,1,3/2/2020 1:47,R_0OeQ95uM1sKdHFj,,,,,57.14529419,-2.094497681,anonymous,EN,1,1,32,0,,To see if people would want to be recieve the £0 or be charitable. I also thought that if it is to see if people are more likely to donate if more of their money is actually going to the charity rather than just overheads,5a9fb1941eda410001369789,decel,no
2/25/2020 2:46,2/25/2020 2:49,4,80.6.116.75,100,197,1,3/2/2020 1:47,R_0cR5UN3ughuvjIF,,,,,53.31669617,-2.983306885,anonymous,EN,2,1,21,0,,maybe something to do with the type of charity it is and their program percentage and the likelihood of donating?,5bfc7edcd18b160001c64761,accel,no
2/25/2020 2:50,2/25/2020 2:51,4,90.203.132.208,100,76,1,3/2/2020 1:47,R_5yzfL9AexitcFfL,,,,,52.74049377,-0.132293701,anonymous,EN,2,1,31,0,,To see if a charity is worthwhile,5d18c00f83591c001a55c00f,decel,yes
2/25/2020 2:50,2/25/2020 2:53,4,92.23.74.92,100,171,1,3/2/2020 1:47,R_8BbwgtLzvudAFJH,,,,,51.16670227,-4,anonymous,EN,1,0,35,0,,To see where people would be less altruistic if the percentage a charities goals receives is less than a certain threshold.,59267df0990b8600014aca15,accel,no
2/25/2020 2:53,2/25/2020 2:54,4,109.156.104.217,100,56,1,3/2/2020 1:47,R_cN42GFtNQMxWThH,,,,,50.80690002,-0.583404541,anonymous,EN,1,1,29,0,,to discern decisions made on charity contributions based on what percentage of the money actually goes to the cause,5c995def2b26210015a2896f,decel,no
