StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CRT1,CRT2,CRT3,compcheck,interested,wta_1,wta_2,wta_3,es1_1,es1_2,es1_3,es1_4,es1_5,es1_6,es1_7,es1_8,es2_1_1,es2_1_2,es2_1_3,es2_1_4,es2_1_5,es2_1_6,es2_1_7,es2_1_8,es2_1_9,es2_1_10,es2_2_1,es2_2_2,es2_2_3,es2_2_4,es2_2_5,es2_2_6,es2_2_7,es2_2_8,es2_2_9,es2_2_10,es2_2_11,es2_2_12,es2_2_13,es2_2_14,es2_2_15,es2_2_16,es3_1,es3_2,es3_3,es3_4,es3_5,es3_6,es3_7,es3_8,es3_9,es3_10,es3_11,es3_12,es3_13,es3_14,es3_15,es3_16,es3_17,es3_18,gender,age,income,ethnicity,edu,hhsize,fam,fam.open,purpose,wid,sid,mid,index
4/2/2019 14:09,4/2/2019 14:09,0,68.191.33.60,100,36,1,4/2/2019 14:09,R_2PjJ8cIQmGbc3Ks,,,,,41.33120728,-73.22429657,anonymous,EN,5,4,5,"2,3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2QD7QFGCUNF5N,intermediate03212016,10,1
4/2/2019 14:08,4/2/2019 14:11,0,100.19.54.39,100,144,1,4/2/2019 14:11,R_3PAdwKqyhZpGWYx,,,,,39.86480713,-75.58850098,anonymous,EN,47,100,0.05,"1,2,3",1,0.3,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,5,2,5,1,1,the math questions,generational differences,ABZR4ETDWHPS3,intermediate03212016,10,2
4/2/2019 14:08,4/2/2019 14:11,0,38.27.128.149,100,147,1,4/2/2019 14:11,R_d4gHXbzbudp3w4h,,,,,42.32739258,-77.6568985,anonymous,EN,48,5,1.05,"1,2,3",1,0.4,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,2,3,4,4,0,,I'm not sure,A31MUX0WVEC6XU,intermediate03212016,10,3
4/2/2019 14:08,4/2/2019 14:11,0,69.114.16.88,100,155,1,4/2/2019 14:11,R_2cBEMvHwOMDJpqV,,,,,40.58279419,-73.95320129,anonymous,EN,47,5,0.05,"1,2,3",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,4,3,5,1,1,"the opening problems (lily pads etc) are always the same in these surveys usually with the same numbers, 48, 1.10, 100/5",To see how we assign attrbutes to generations,A19C6T7B0H4PAQ,intermediate03212016,16,4
4/2/2019 14:09,4/2/2019 14:11,0,107.77.236.232,100,138,1,4/2/2019 14:11,R_2EbhRuW4ysD3FAU,,,,,37.75100708,-97.8219986,anonymous,EN,24,100,0.1,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1852Q3JI2SO7N,intermediate03212016,16,5
4/2/2019 14:08,4/2/2019 14:11,0,73.22.41.205,100,172,1,4/2/2019 14:11,R_8vOMbpan3MDQCrL,,,,,41.96020508,-87.98100281,anonymous,EN,47,100,0.05,"1,2,3",1,0.5,0.6,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,6,3,5,1,0,,See how to best price their HITS,AFHIYW7ATEDNM,intermediate03212016,10,6
4/2/2019 14:09,4/2/2019 14:11,0,50.117.102.60,100,147,1,4/2/2019 14:11,R_2BmajM9O9dptn8L,,,,,33.76699829,-118.1892014,anonymous,EN,24,100,0.1,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3R73Z60QMCNW7,intermediate03212016,16,7
4/2/2019 14:08,4/2/2019 14:11,0,172.119.247.193,100,175,1,4/2/2019 14:11,R_8odsZZGAiL9h077,,,,,34.01210022,-117.6883011,anonymous,EN,24,100,0.1,"1,2,3",1,0.5,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,2,"1,4",3,3,0,,To evaluate how we judge people based on their age. ,ASZODY8Y3JJQK,intermediate03212016,16,8
4/2/2019 14:10,4/2/2019 14:11,0,190.124.28.153,100,101,1,4/2/2019 14:11,R_0kZs1iWWlVSsfap,,,,,10.63169861,-71.64060211,anonymous,EN,54,35,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVVJCVMRU1U46,intermediate03212016,10,9
4/2/2019 14:10,4/2/2019 14:11,0,174.58.185.59,100,105,1,4/2/2019 14:11,R_2axElR1XwJ03KzI,,,,,39.05180359,-94.40460205,anonymous,EN,48,5,1.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2ALZGXEZFS8LC,intermediate03212016,16,10
4/2/2019 14:09,4/2/2019 14:12,0,12.104.244.6,100,168,1,4/2/2019 14:12,R_2xP37xpf0MeARrB,,,,,44.91520691,-93.32219696,anonymous,EN,47,5,0.05,"1,2,3",1,0.25,0.35,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,9,3,5,3,0,,To determine how age impacts perceptive of personalities. ,A12S78Z52GBJMI,intermediate03212016,10,11
4/2/2019 14:09,4/2/2019 14:12,0,75.143.210.3,100,183,1,4/2/2019 14:12,R_22shULkEqMnQI4d,,,,,47.49499512,-111.2501984,anonymous,EN,12,5,0.05,"1,2,3",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,9,3,5,2,0,N/A,I believe this study was constructed with the objective to obtain data derived from participants' responses to thought invoking questions. This data can then be used to establish correlation and causation. ,A3G5GWT0EON3Y,intermediate03212016,16,12
4/2/2019 14:09,4/2/2019 14:12,0,172.245.183.156,100,153,1,4/2/2019 14:12,R_1Fzh57bjMEeV6rT,,,,,42.88639832,-78.87809753,anonymous,EN,45,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3B0TA3MB5BNFO,intermediate03212016,16,13
4/2/2019 14:09,4/2/2019 14:12,0,35.9.199.184,100,179,1,4/2/2019 14:12,R_r26PHbT8cTNBgtj,,,,,42.73069763,-84.48529816,anonymous,EN,24,100,0.1,"1,2,3",1,0.5,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,6,3,5,3,0,,"Judge how the generations interact with: each other, music, and religion.",A2IKV0ILIJG2FF,intermediate03212016,16,14
4/2/2019 14:09,4/2/2019 14:12,0,107.175.103.67,100,164,1,4/2/2019 14:12,R_1GZEHbYMmaatEMV,,,,,42.88639832,-78.87809753,anonymous,EN,24,100,0.1,"1,2,4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1LXN6X5O41IXM,intermediate03212016,16,15
4/2/2019 14:09,4/2/2019 14:12,0,68.57.0.175,100,185,1,4/2/2019 14:12,R_2VlsYwDsMW5m2BY,,,,,35.45739746,-84.60430145,anonymous,EN,24,100,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1B5R2EFL0UO74,intermediate03212016,16,16
4/2/2019 14:10,4/2/2019 14:12,0,173.211.89.223,100,112,1,4/2/2019 14:12,R_2QfwgS4cPdE6y0d,,,,,36.12359619,-115.2757034,anonymous,EN,23,10,1,"1,5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2OPZVLMDJCNHQ,intermediate03212016,16,17
4/2/2019 14:09,4/2/2019 14:12,0,75.65.120.116,100,205,1,4/2/2019 14:12,R_6MquOBcQh72qEgN,,,,,32.44009399,-88.67829895,anonymous,EN,24,5,0.05,"1,2,3",1,0.6,0.8,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,2,3,5,2,0,n/a,I'm not sure.,ABOEYY9Y0PFRI,intermediate03212016,16,18
4/2/2019 14:09,4/2/2019 14:13,0,98.115.0.191,100,198,1,4/2/2019 14:13,R_Uo437RsAZPiLylX,,,,,39.98629761,-75.40699768,anonymous,EN,47,5,0.1,"1,2,3",1,0.5,0.55,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,1,3,3,2,0,,How we judge people based on age group.,A1EE6KAV0P12KQ,intermediate03212016,10,19
4/2/2019 14:09,4/2/2019 14:13,0,73.223.55.94,100,220,1,4/2/2019 14:13,R_1mCPrJFImSBCweV,,,,,37.72009277,-122.4413986,anonymous,EN,24,100,0.1,"1,2,3",1,0.5,0.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,2,5,2,0,,To see the different viewpoints of people from different generations.,A2NYDCQ3Y6QS4Q,intermediate03212016,10,20
4/2/2019 14:09,4/2/2019 14:13,0,99.99.207.150,100,235,1,4/2/2019 14:13,R_2WDdDamcOmDLaxU,,,,,43.63760376,-84.26799774,anonymous,EN,47,100,0.05,"1,2,3",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,3,3,5,1,0,,I do not know,AU0NZI2T3R792,intermediate03212016,10,21
4/2/2019 14:09,4/2/2019 14:13,0,73.219.254.208,100,249,1,4/2/2019 14:13,R_2VwOXzkQ06dyX5B,,,,,43.70449829,-72.28500366,anonymous,EN,24,1,0.1,"1,2,3",1,0.6,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,1,"2,3",1,2,0,,,A1NRWG5JYGVIIA,intermediate03212016,10,22
4/2/2019 14:09,4/2/2019 14:13,0,209.117.113.98,100,228,1,4/2/2019 14:13,R_6u4IAqoPXqvokVj,,,,,41.85409546,-71.43779755,anonymous,EN,47,100,0.05,"1,2,3",1,1,2,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,9,3,3,4,0,,Differences in generations,A2JZUSRBP6H5S,intermediate03212016,16,23
4/2/2019 14:09,4/2/2019 14:13,0,108.170.8.155,100,244,1,4/2/2019 14:13,R_2Uiy1bLelBTia1f,,,,,25.8000946,-80.28099823,anonymous,EN,3,34,0.5,"1,2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3VDJBAUMA2IEH,intermediate03212016,10,24
4/2/2019 14:11,4/2/2019 14:13,0,199.115.98.226,100,109,1,4/2/2019 14:13,R_1gI8N2JLNtbZhqq,,,,,39.75010681,-104.995697,anonymous,EN,48,5,10,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1DATREWQ3V3ZU,intermediate03212016,10,25
4/2/2019 14:10,4/2/2019 14:13,0,69.138.220.64,100,203,1,4/2/2019 14:13,R_cG4zENNJALPP5NT,,,,,39.36470032,-77.46360016,anonymous,EN,47,100,0.05,"1,2,3",1,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42,3,3,6,1,1,Everyone does the bat and ball/lilypad/widgets questions. ,it doesn't really matter to me. ,A3KI91ZYYAPUO6,intermediate03212016,16,26
4/2/2019 14:09,4/2/2019 14:13,0,73.221.202.162,100,267,1,4/2/2019 14:13,R_Q0bOyfUhCPId2CJ,,,,,47.20379639,-122.4824982,anonymous,EN,24,100,0.1,"1,2,3",1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,4,1,4,3,0,,Perceptions of elders vs millenials,A27U34JQKVDTA3,intermediate03212016,16,27
4/2/2019 14:10,4/2/2019 14:13,0,68.47.141.246,100,219,1,4/2/2019 14:13,R_Wfe0acXuTRHZ2il,,,,,30.49079895,-84.31580353,anonymous,EN,24,100,0.1,"1,2,3",1,0.36,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,5,3,6,2,1,I have done the math questions many times before,To see if math ability and estimates of responses to common questions are related.,A6SR4BU227GUH,intermediate03212016,16,28
4/2/2019 14:09,4/2/2019 14:13,0,13.59.184.215,100,256,1,4/2/2019 14:13,R_2RWCzllkHYe9Xsu,,,,,39.96530151,-83.02349854,anonymous,EN,47,100,0.1,"1,2,3",1,0.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,6,3,3,4,0,,I think the study was to evaluate how the generation gap is affecting the people's viewpoint about a certain thing in relation to one another.,A30UE6DWFNUCWX,intermediate03212016,16,29
