StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timepressure_First Click,timepressure_Last Click,timepressure_Page Submit,timepressure_Click Count,notimepressure_First Click,notimepressure_Last Click,notimepressure_Page Submit,notimepressure_Click Count,ppm_1,ppm_2,ppm_3,spp_1,spp_2,spp_3,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,attnCheckQ,gender,age,income,ethnicity,country,edu,fam,fam.open,purpose,wid,sid,attnCheck,metric,timepressure
10/18/2018 8:28,10/18/2018 8:29,0,130.39.81.249,100,67,1,10/18/2018 8:29,R_1qb6NVnMGf1BBfP,,,,,30.40499878,-91.1867981,anonymous,EN,11.793,14.14,15.252,3,,,,,1,1,1,,,,28.965,28.965,28.975,1,,0,12,1,,,,,delete,,,SV_e5PHW5UctIVotQp,1,ppm,yes
10/18/2018 8:38,10/18/2018 8:39,0,170.115.248.22,100,73,1,10/18/2018 8:39,R_3QWrs7qKAK8P042,,,,,40.03379822,-75.17310333,anonymous,EN,,,,,2.32,8.903,10.473,3,35,45,55,,,,2.79,2.79,2.8,1,,0,32,5,3,0,5,0,,Not Sure,A2T22FJ28MIGI,intermediate03212016,1,ppm,no
10/18/2018 8:38,10/18/2018 8:39,0,199.218.242.15,100,47,1,10/18/2018 8:39,R_6EgoiLkgqSD8DQZ,,,,,40.03259277,-82.91030121,anonymous,EN,2.769,2.769,10.341,1,,,,,40,60,80,,,,3.341,3.341,3.367,1,,0,39,5,"3,5",0,6,0,,I don't know,A3FXVNZ5VG98IP,intermediate03212016,1,ppm,yes
10/18/2018 8:39,10/18/2018 8:40,0,68.96.187.137,100,36,1,10/18/2018 8:40,R_27rEDLtQVoGCi0h,,,,,36.24499512,-115.2742996,anonymous,EN,,,,,0.699,8.195,9.554,5,1,1,1,,,,3.743,3.743,3.752,1,,0,27,9,3,0,6,0,,"unsure, sorry!",A1UGD2VEVSML1U,intermediate03212016,1,ppm,no
10/18/2018 8:38,10/18/2018 8:40,0,173.113.150.253,100,102,1,10/18/2018 8:40,R_1o8diqxlQPcuHup,,,,,42.90510559,-82.56790161,anonymous,EN,3.909,3.909,26.073,1,,,,,,,,100,200,250,15.063,15.063,15.093,1,,1,54,4,3,0,3,0,,PRICING,A2J2P9JE374XCM,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:40,0,70.63.112.211,100,63,1,10/18/2018 8:40,R_1OHKFJBl6sMkYvP,,,,,34.00039673,-81.03340149,anonymous,EN,2.682,2.682,14.221,1,,,,,400,556,700,,,,6.219,7.467,7.495,2,,1,24,4,"2,3",0,4,0,,NOT SURE,A3KUZNPVWM8K4Z,intermediate03212016,1,ppm,yes
10/18/2018 8:38,10/18/2018 8:40,0,73.133.53.32,100,130,1,10/18/2018 8:40,R_3Rqr6Mch0nNDRTx,,,,,39.11250305,-77.25150299,anonymous,EN,1.993,11.575,13.608,4,,,,,,,,100,125,150,31.565,31.565,31.594,1,,1,32,7,3,0,3,0,,to see how fast you can make on the spot decisions with little information.,ARU85TJYLQG1Q,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:40,0,24.171.56.101,100,85,1,10/18/2018 8:40,R_2ciSVLEJvLW6Uw5,,,,,38.43049622,-90.38700104,anonymous,EN,5.417,14.839,18.167,6,,,,,20,50,75,,,,6.126,8.443,8.476,4,,0,21,5,3,0,3,0,,To see how much people value time,A3186NS9MI9763,intermediate03212016,1,ppm,yes
10/18/2018 8:39,10/18/2018 8:40,0,78.70.208.177,100,65,1,10/18/2018 8:40,R_3Pua9wqjpdSikxK,,,,,58.75300598,17.00790405,anonymous,EN,2.355,2.355,12.867,1,,,,,,,,0.02,0.01,0.01,2.445,4.127,4.156,2,,0,22,5,3,0,5,0,,Test what people would pay for a quick piece of printer paper?,A03172343NB8PHOPICC1,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:40,0,208.68.27.63,100,57,1,10/18/2018 8:40,R_Z4Vm6ZaG58CRoJz,,,,,47.13670349,-88.56539917,anonymous,EN,,,,,2.289,2.289,9.044,1,50,50,60,,,,5.995,5.995,6.004,1,,0,25,5,3,0,5,0,,To gauge peoples value of certain products.,A21B7QJHYEYHMH,intermediate03212016,1,ppm,no
10/18/2018 8:40,10/18/2018 8:41,0,65.24.117.162,100,61,1,10/18/2018 8:41,R_1eyksl7yrJCd1Sr,,,,,39.97270203,-82.832901,anonymous,EN,,,,,1.088,1.09,9.881,2,,,,50,100,150,2.746,3.28,3.31,3,,1,26,3,3,0,3,0,,how much efficiency is worth to people,A1PKCBFB4QY19G,intermediate03212016,1,spp,no
10/18/2018 8:39,10/18/2018 8:41,0,24.167.170.251,100,80,1,10/18/2018 8:41,R_1mUB9xvo5X4PdK0,,,,,36.03340149,-79.86260223,anonymous,EN,3.662,20.578,25.542,5,,,,,50,60,80,,,,5.747,5.747,5.756,1,,1,66,5,3,0,5,0,,UNSURE,A219VCQZADQ45W,intermediate03212016,1,ppm,yes
10/18/2018 8:40,10/18/2018 8:41,0,64.83.250.98,100,53,1,10/18/2018 8:41,R_3g7c8DdLYFT10l2,,,,,38.19070435,-89.98840332,anonymous,EN,1.431,10.84,12.343,4,,,,,,,,100,100,150,2.999,4.795,4.831,3,,1,41,9,3,0,6,0,,,A1H4GJFI4NJWKV,intermediate03212016,1,spp,yes
10/18/2018 8:40,10/18/2018 8:41,0,24.113.50.251,100,78,1,10/18/2018 8:41,R_UQ5GFuLJBtAJWTL,,,,,47.57539368,-122.6958008,anonymous,EN,,,,,2.759,6.386,7.256,3,,,,0,0,0,4.883,4.883,4.938,1,,0,46,1,6,0,3,1,"all of it, just in different orders and different parts at differemt times. ive done over 20k surveys",why would i care,A35P8YSNTQ7OTP,intermediate03212016,1,spp,no
10/18/2018 8:39,10/18/2018 8:41,0,216.71.32.111,100,139,1,10/18/2018 8:41,R_RLjxI0Vfws8Kmkx,,,,,44.00360107,-103.358902,anonymous,EN,5.134,13.949,17.614,3,,,,,,,,40,60,80,18.756,18.756,18.8,1,,0,29,5,3,0,3,0,,To test your reaction time to retail prices.,AKUBT35V168H3,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:41,0,65.32.196.103,100,147,1,10/18/2018 8:41,R_27CEgY4mOr1Mavi,,,,,27.43940735,-82.57779694,anonymous,EN,,,,,4.713,14.389,15.537,2,50,60,70,,,,22.599,22.599,22.631,1,,1,69,4,3,0,3,0,,unk,A1BK15QBL5758M,intermediate03212016,1,ppm,no
10/18/2018 8:40,10/18/2018 8:41,0,71.82.73.142,100,76,1,10/18/2018 8:41,R_1ruYNJBUlaXQHUg,,,,,42.45959473,-83.90989685,anonymous,EN,,,,,1.529,1.529,14.172,1,,,,80,100,120,10.853,10.853,10.875,1,,0,32,7,3,0,3,0,,To see price points for different printer speeds,A3TM85O4E7IOUU,intermediate03212016,1,spp,no
10/18/2018 8:40,10/18/2018 8:41,0,67.137.52.8,100,66,1,10/18/2018 8:41,R_2B8s0a5QSLXynyF,,,,,40.39579773,-111.8506012,anonymous,EN,,,,,1.081,7.577,9.912,3,50,55,60,,,,8.797,8.797,8.805,1,,0,25,1,3,0,3,0,,willingness to buy a faster printer,A3LWFLB96G69VD,intermediate03212016,1,ppm,no
10/18/2018 8:41,10/18/2018 8:41,0,71.231.78.129,100,43,1,10/18/2018 8:41,R_0p7IQYdPJ9myKfn,,,,,47.89480591,-122.1987,anonymous,EN,,,,,5.534,5.534,7.699,1,,,,0,0,0,2.085,2.085,2.099,1,,0,29,2,6,0,5,1,,,A1N4P4XGQM7NXE,intermediate03212016,1,spp,no
10/18/2018 8:40,10/18/2018 8:41,0,75.97.215.133,100,60,1,10/18/2018 8:41,R_9vniz1QjJMv2eHv,,,,,41.01150513,-76.43840027,anonymous,EN,1.734,10.749,16.096,2,,,,,,,,300,200,100,4.504,6.46,6.476,3,,0,44,4,2,0,4,0,,ethics ,AW0225ONUAPO5,intermediate03212016,1,spp,yes
10/18/2018 8:40,10/18/2018 8:41,0,162.226.205.222,100,95,1,10/18/2018 8:41,R_UYpXakusmm5Qg2R,,,,,33.36959839,-84.81939697,anonymous,EN,7.334,23.026,25.436,3,,,,,,,,50,75,100,14.413,16.262,16.284,3,,1,24,5,3,0,3,0,,Printers,A2QK87TCYPFR80,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:41,0,71.190.192.68,100,116,1,10/18/2018 8:41,R_1Dvsm2QaSa7WVcA,,,,,40.74459839,-73.93450165,anonymous,EN,,,,,5.95,15.134,21.649,3,50,60,75,,,,17.655,17.655,17.666,1,,0,36,2,2,0,5,0,,How much do people value certain attributes.,A26VJVVDUFBU4S,intermediate03212016,1,ppm,no
10/18/2018 8:39,10/18/2018 8:42,0,68.60.110.157,100,156,1,10/18/2018 8:42,R_3MJQ05upY1W3EaS,,,,,42.19490051,-83.48539734,anonymous,EN,3.516,18.49,22.516,3,,,,,100,110,150,,,,28.722,28.722,28.738,1,,0,41,1,3,0,3,0,,Information for future surveys,A3X3UFGLKM36R,intermediate03212016,1,ppm,yes
10/18/2018 8:41,10/18/2018 8:42,0,67.249.88.252,100,61,1,10/18/2018 8:42,R_3KNkxwMwPWWZsMA,,,,,42.44059753,-76.49659729,anonymous,EN,1.763,8.827,16.754,2,,,,,50,55,60,,,,8.057,8.057,8.08,1,,0,31,1,3,0,4,0,,Not entirely sure.,A2JIRC73O88L0U,intermediate03212016,1,ppm,yes
10/18/2018 8:40,10/18/2018 8:42,0,108.5.141.92,100,138,1,10/18/2018 8:42,R_3R3oYA3DklkEDAE,,,,,40.72610474,-74.23130035,anonymous,EN,3.723,11.386,14.69,3,,,,,75,80,100,,,,16.305,17.329,17.34,2,,1,28,6,1,0,6,0,,Price in relation to produce quality,AHDUC59YMB0Z4,intermediate03212016,1,ppm,yes
10/18/2018 8:40,10/18/2018 8:42,0,104.235.142.49,100,91,1,10/18/2018 8:42,R_exMjp6unM3p3vyh,,,,,37.72569275,-88.92939758,anonymous,EN,1.863,3.491,11.745,2,,,,,,,,50,75,90,9.873,11.25,11.262,2,,1,25,5,3,0,5,0,,How much someone would pay for a printer.,A1BMZUNL98C5GL,intermediate03212016,1,spp,yes
10/18/2018 8:41,10/18/2018 8:42,0,173.18.56.207,100,100,1,10/18/2018 8:42,R_PAGMGrBqbUz3MQN,,,,,41.66490173,-91.51509857,anonymous,EN,1.681,24.06,26.911,5,,,,,100,150,200,,,,22.509,22.509,22.522,1,,1,20,1,3,0,3,0,,To see if people read instructions,AW2OPP8QUCJBW,intermediate03212016,1,ppm,yes
10/18/2018 8:42,10/18/2018 8:42,0,69.85.255.82,100,42,1,10/18/2018 8:42,R_2rGBk8eay4ALdIr,,,,,30.52409363,-87.21669769,anonymous,EN,,,,,1.391,1.391,8.566,1,,,,40,75,100,7.126,7.126,7.134,1,,1,33,9,3,0,3,0,,,A21SDT0AHZO52X,intermediate03212016,1,spp,no
10/18/2018 8:40,10/18/2018 8:42,0,73.55.188.135,100,125,1,10/18/2018 8:42,R_1GE88kNslPxKMsi,,,,,29.74499512,-95.73259735,anonymous,EN,,,,,9.749,23.465,24.166,10,,,,200,250,300,12.892,25.632,25.677,5,,1,30,5,3,0,4,0,,Product preferences ,A98QFUWNFJUS3,intermediate03212016,1,spp,no
10/18/2018 8:40,10/18/2018 8:42,0,204.145.237.254,100,119,1,10/18/2018 8:42,R_1FfW11dsR0heEn0,,,,,26.69299316,-81.91249847,anonymous,EN,6.245,19.037,25.845,3,,,,,,,,100,125,150,17.718,17.718,17.727,1,,1,52,9,3,0,5,0,,perceptions of printing speed,A2H4SM7PEAK10H,intermediate03212016,1,spp,yes
10/18/2018 8:39,10/18/2018 8:42,0,71.73.74.224,100,203,1,10/18/2018 8:42,R_32JiwWV9LpXCUFf,,,,,41.50079346,-81.5515976,anonymous,EN,,,,,15.983,15.983,34.733,1,,,,40,20,15,3.295,6.878,8.278,3,9,1,20,1,1,0,2,0,,,A3OLCXYPRUL5MO,intermediate03212016,0,spp,no
10/18/2018 8:41,10/18/2018 8:43,0,216.238.144.197,100,71,1,10/18/2018 8:43,R_1OZE5j9UViRcE7q,,,,,30.27870178,-81.58309937,anonymous,EN,4.868,8.174,11.608,3,,,,,,,,10,20,20,17.152,17.152,17.165,1,,0,26,3,3,0,5,0,,to stress me out with a fast answer,A3PQQ59MX2F4CH,intermediate03212016,1,spp,yes
10/18/2018 8:42,10/18/2018 8:43,0,99.101.39.20,100,41,1,10/18/2018 8:43,R_2QMV4xv7WX66rUs,,,,,30.0532074,-95.37729645,anonymous,EN,0,0,4.12,0,,,,,,,,4,4,2,3.873,3.873,3.883,1,,1,53,4,1,111,1,0,,research survey,A2KNWCQHT2HQOR,intermediate03212016,1,spp,yes
10/18/2018 8:41,10/18/2018 8:43,0,192.94.102.2,100,82,1,10/18/2018 8:43,R_2cdOFGoqzpeyvEH,,,,,41.25860596,-95.93779755,anonymous,EN,,,,,6.453,21.461,23.568,5,100,100,200,,,,14.067,14.067,14.087,1,,0,30,6,3,0,5,0,,not certain,A1RD0EUJJDNJZ7,intermediate03212016,1,ppm,no
10/18/2018 8:40,10/18/2018 8:43,0,108.41.189.107,100,148,1,10/18/2018 8:43,R_1PTufVbIeFESbRp,,,,,40.64239502,-73.97579956,anonymous,EN,,,,,8.203,9.87,21.411,4,200,200,250,,,,13.814,20.124,20.13,3,,0,37,6,2,0,6,0,,value of printer,A1EIKI2CBBKLEV,intermediate03212016,1,ppm,no
