StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,a_wtp3,a_wtp2,a_wtp1,b_wtp3,b_wtp2,b_wtp1,c_wtp3,c_wtp2,c_wtp1,d_wtp3,d_wtp2,d_wtp1,e_wtp3,e_wtp2,e_wtp1,sex,age,race,education,income,english,mturkcode
1/9/2015 15:42,1/9/2015 15:43,IP Address,58.143.227.19,,63,TRUE,1/9/2015 15:43,R_3PFEx5yoHjo4qEw,,,,,,,4,3.25,2.75,,,,,,,1,37,5,3,3,1,53864
1/9/2015 15:42,1/9/2015 15:43,IP Address,98.231.190.19,,78,TRUE,1/9/2015 15:44,R_1FCwMXc5HLfjNCM,,,,,,,,,,5,3,1.99,,,,2,33,"3,5",4,2,1,9673
1/9/2015 15:43,1/9/2015 15:44,IP Address,65.3.192.184,,70,TRUE,1/9/2015 15:44,R_3CAZjQwFFk0JNgO,,,,2.25,2,1,,,,,,,,,,2,68,5,6,4,1,44131
1/9/2015 15:43,1/9/2015 15:44,IP Address,76.117.46.207,,80,TRUE,1/9/2015 15:44,R_2XpxTy9JbcnspZz,,,,,,,2,1.5,1,,,,,,,1,1982,,3,1,1,8819
1/9/2015 15:43,1/9/2015 15:44,IP Address,68.187.235.216,,42,TRUE,1/9/2015 15:44,R_vkT4qhwU3jlTp7P,,,,4,3.5,2.5,,,,,,,,,,2,21,5,3,4,1,89886
1/9/2015 15:44,1/9/2015 15:44,IP Address,98.221.13.50,,33,TRUE,1/9/2015 15:44,R_2BfWYxkv7Gb7qmU,,,,,,,,,,10,7,5,,,,2,20,5,3,1,1,98976
1/9/2015 15:43,1/9/2015 15:44,IP Address,104.129.194.76,,59,TRUE,1/9/2015 15:44,R_2s7P8N8UIsATpFi,,,,,,,4,3,2,,,,,,,1,34,5,4,5,1,98791
1/9/2015 15:43,1/9/2015 15:44,IP Address,66.66.225.79,,58,TRUE,1/9/2015 15:44,R_eKeJXSQM9r3NpGF,2,1.75,1.25,,,,,,,,,,,,,2,27,5,6,2,1,41459
1/9/2015 15:44,1/9/2015 15:44,IP Address,73.184.172.105,,45,TRUE,1/9/2015 15:44,R_Rwu6iFkLiA9m8nL,9,5.5,5,,,,,,,,,,,,,1,21,3,3,1,1,63740
1/9/2015 15:44,1/9/2015 15:44,IP Address,71.195.25.163,,42,TRUE,1/9/2015 15:44,R_1FlwVaOBf5yLVq4,,,,,,,,,,3.5,3,2.5,,,,1,34,"2,5",3,4,1,35728
1/9/2015 15:44,1/9/2015 15:45,IP Address,24.160.14.25,,39,TRUE,1/9/2015 15:45,R_1q2oNglw3bJ2tY6,,,,,,,2,1.75,1.5,,,,,,,1,26,5,4,4,1,55704
1/9/2015 15:44,1/9/2015 15:45,IP Address,70.194.225.55,,58,TRUE,1/9/2015 15:45,R_1GObOlggTgjOmuS,,,,3.99,2.99,1.5,,,,,,,,,,2,24,"5,6",3,1,1,33614
1/9/2015 15:44,1/9/2015 15:45,IP Address,72.68.72.180,,56,TRUE,1/9/2015 15:45,R_1r1S79bNsvQ7viS,,,,,,,,,,,,,1.5,1.25,0.75,1,33,"1,5",4,3,1,78384
1/9/2015 15:45,1/9/2015 15:45,IP Address,108.197.241.60,,37,TRUE,1/9/2015 15:45,R_yJVv0pZNlE9EN1L,,,,1.69,1.29,0.99,,,,,,,,,,1,28,5,3,2,1,6220
1/9/2015 15:45,1/9/2015 15:45,IP Address,67.11.149.227,,39,TRUE,1/9/2015 15:45,R_3ktRcsnMztDV0To,,,,,,,4,3,2,,,,,,,1,31,"2,5",6,5,1,82727
1/9/2015 15:44,1/9/2015 15:46,IP Address,66.87.67.226,,79,TRUE,1/9/2015 15:46,R_2TyIeHS2OQFUf3y,3.5,2.75,2.5,,,,,,,,,,,,,1,30,5,3,3,1,25519
1/9/2015 15:45,1/9/2015 15:46,IP Address,71.125.220.228,,41,TRUE,1/9/2015 15:46,R_27lP7naeLTtndnO,,,,,,,,,,2,1.5,1,,,,1,24,2,4,4,1,5840
1/9/2015 15:45,1/9/2015 15:46,IP Address,155.188.123.25,,48,TRUE,1/9/2015 15:46,R_pRSfBE3xf1XVWyl,,,,,,,,,,,,,2,1.8,1,1,32,5,4,4,1,20655
1/9/2015 15:45,1/9/2015 15:46,IP Address,192.189.128.13,,50,TRUE,1/9/2015 15:46,R_1IgrVWe8SHeEnhb,,,,,,,,,,3,2,1,,,,1,43,5,4,4,1,24256
1/9/2015 15:45,1/9/2015 15:46,IP Address,172.8.177.90,,85,TRUE,1/9/2015 15:46,R_2isfm8luZ3J2shj,,,,4.29,3.79,2.99,,,,,,,,,,2,41,5,4,5,1,34802
1/9/2015 15:45,1/9/2015 15:47,IP Address,208.100.40.53,,100,TRUE,1/9/2015 15:47,R_2SIRRNa5EDgEPVv,2,1.5,1,,,,,,,,,,,,,1,37,5,2,4,1,85146
1/9/2015 15:47,1/9/2015 15:47,IP Address,173.69.195.159,,26,TRUE,1/9/2015 15:47,R_2YicirPULzjGUAN,,,,,,,10,8,6,,,,,,,1,24,5,3,2,1,48631
1/9/2015 15:44,1/9/2015 15:47,IP Address,73.53.85.195,,162,TRUE,1/9/2015 15:47,R_2qvHGAp5FzJHCyH,,,,,,,,,,,,,2,1.85,1.1,1,25,5,4,1,1,82590
1/9/2015 15:47,1/9/2015 15:47,IP Address,49.149.202.20,,38,TRUE,1/9/2015 15:47,R_eaF5BFtAydlqv9T,,,,,,,,,,,,,2,1.75,1,2,62,5,3,1,1,20392
