Duration (in seconds),b_wtp3,b_wtp2,b_wtp1,b_qual3,b_qual2,b_qual1,c_wtp3,c_wtp2,c_wtp1,c_qual3,c_qual2,c_qual1,a_wtp3,a_wtp2,a_wtp1,a_qual3,a_qual2,a_qual1,Q35,Q52,Q54_1,Q56,Q58,Q60,Q64,mturkcode
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,30,20,11,8,7,1,1,19,5,3,5,1,66042
55,400,100,50,13,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,2,6,4,1,56214
97,NA,NA,NA,NA,NA,NA,250,100,25,13,7,1,NA,NA,NA,NA,NA,NA,1,1,43,5,2,2,1,75403
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,200,150,10,5,1,5,1,22,5,3,2,1,24031
141,NA,NA,NA,NA,NA,NA,150,130,90,13,13,10,NA,NA,NA,NA,NA,NA,2,2,28,5,6,5,1,21901
70,300,170,50,13,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,26,5,3,2,1,12577
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,5,1,13,13,1,2,34,5,3,1,2,4285
97,90,250,40,8,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,44,5,3,5,1,32716
99,NA,NA,NA,NA,NA,NA,200,150,30,13,10,1,NA,NA,NA,NA,NA,NA,3,2,23,5,4,1,1,32091
83,699,499,299,11,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,38,5,4,5,1,53762
72,NA,NA,NA,NA,NA,NA,200,150,75,12,9,4,NA,NA,NA,NA,NA,NA,1,2,34,5,3,5,1,74901
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,150,125,11,9,6,2,2,25,5,2,2,1,46088
94,NA,NA,NA,NA,NA,NA,120,115,75,10,8,2,NA,NA,NA,NA,NA,NA,3,2,35,5,3,3,1,97794
180,100,200,500,8,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,22,3,3,2,1,86434
61,NA,NA,NA,NA,NA,NA,450,400,350,13,13,13,NA,NA,NA,NA,NA,NA,4,1,24,5,3,1,1,19556
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,100,70,10,5,2,4,2,21,5,4,5,1,91374
121,NA,NA,NA,NA,NA,NA,275,199,129,11,9,5,NA,NA,NA,NA,NA,NA,3,1,51,5,6,3,1,27705
