ppnr,cond,spacex2,spacex3,spacex4,trial,category,categ,feature1,feature2,feature3,feature4,timeinstructions,count,set,x1,x2,x3,x4,x1_,x2_,x3_,x4_,rating,timerating,age,gender,sat,date,time
1,1,uni,acc,dec,1,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,1,18,3,3,3,3,"$1,500 ","1,050_sq_ft",$7 ,50_dB,80,17.222,23,F,0,10/28/2013,1:37:00_PM
1,1,uni,acc,dec,2,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,2,10,2,2,3,3,"$1,250 ",950_sq_ft,7,50_dB,85,17.41,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,3,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,3,6,1,3,3,2,"$1,000 ","1,050_sq_ft",$7 ,40_dB,85,8.439,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,4,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,4,5,1,3,2,3,"$1,000 ","1,050_sq_ft",4,50_dB,75,5.647,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,5,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,5,7,2,1,1,3,"$1,250 ",850_sq_ft,$3 ,50_dB,60,9.641,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,6,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,6,11,2,3,1,2,"$1,250 ","1,050_sq_ft",$3 ,40_dB,60,11.668,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,7,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,7,2,1,1,2,2,"$1,000 ",850_sq_ft,$4 ,40_dB,85,4.275,23,F,0,10/28/2013,1:38:00_PM
1,1,uni,acc,dec,8,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,8,3,1,2,1,3,"$1,000 ",950_sq_ft,$3 ,50_dB,85,15.897,23,F,0,10/28/2013,1:39:00_PM
1,1,uni,acc,dec,9,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,9,14,3,1,3,2,"$1,500 ",850_sq_ft,7,40_dB,65,7.394,23,F,0,10/28/2013,1:39:00_PM
1,1,uni,acc,dec,10,Apartment,1,Price,Square_footage,Number_of_windows,Sound_insulation,37.175,10,16,3,2,2,1,"$1,500 ",950_sq_ft,4,20_dB,20,4.384,23,F,0,10/28/2013,1:39:00_PM
